ref 	 beg 	 end 	 clusterType 	 nbTotalEvents 	 nbTumourEvents 	 nbNormalEvents 	 mean 	 standardDeviation 	 variationConfficient 
19	39002357	39002359	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	42315881	42315899	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	43827662	43827721	LEFT-CLIPPING-CLUSTER	9	NA	NA	NA	NA	NA
19	44183352	44183404	LEFT-CLIPPING-CLUSTER	6	NA	NA	NA	NA	NA
19	46753669	46753669	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	46321013	46321013	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	46943182	46943193	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	47811486	47811486	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	47922787	47922787	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	51108472	51108478	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	51297424	51297424	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	52527753	52527761	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	53097608	53097608	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	55945855	55945866	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	55818756	55818784	LEFT-CLIPPING-CLUSTER	9	NA	NA	NA	NA	NA
19	56518676	56518676	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	57904917	57904922	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	58974907	58974914	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	620910	620939	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	700502	700504	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	895854	895864	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	2909556	2909556	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	3173076	3173084	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	3974203	3974242	RIGHT-CLIPPING-CLUSTER	4	NA	NA	NA	NA	NA
19	3174319	3174325	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	4622107	4622111	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	4618586	4618629	RIGHT-CLIPPING-CLUSTER	3	NA	NA	NA	NA	NA
19	5246860	5246860	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	5510054	5510054	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	5976524	5976532	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	6083422	6083423	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	6318821	6318824	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	6378994	6378994	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	7572283	7572285	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	7258364	7258364	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	8487876	8487877	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	8687198	8687198	RIGHT-CLIPPING-CLUSTER	3	NA	NA	NA	NA	NA
19	9007262	9007269	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	9839771	9839771	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	11002720	11002720	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	14491115	14491115	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	18237629	18237649	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	20292410	20292412	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	22954803	22954812	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	24595508	24595510	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	24027942	24027943	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	27890242	27890285	RIGHT-CLIPPING-CLUSTER	4	NA	NA	NA	NA	NA
19	28078312	28078345	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	29855784	29855784	RIGHT-CLIPPING-CLUSTER	3	NA	NA	NA	NA	NA
19	32225003	32225003	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	34737076	34737085	RIGHT-CLIPPING-CLUSTER	6	NA	NA	NA	NA	NA
19	35385974	35385989	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	36686720	36686732	RIGHT-CLIPPING-CLUSTER	3	NA	NA	NA	NA	NA
19	39018208	39018208	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	39045060	39045104	RIGHT-CLIPPING-CLUSTER	4	NA	NA	NA	NA	NA
19	43833467	43833538	RIGHT-CLIPPING-CLUSTER	10	NA	NA	NA	NA	NA
19	44184215	44184215	RIGHT-CLIPPING-CLUSTER	4	NA	NA	NA	NA	NA
19	46943464	46943469	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	46756515	46756530	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	47922783	47922787	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	48115581	48115590	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	51776963	51776964	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	53096020	53096022	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	54861529	54861531	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	55119504	55119539	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	55822006	55822006	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	55818260	55818267	RIGHT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	55821547	55821587	RIGHT-CLIPPING-CLUSTER	10	NA	NA	NA	NA	NA
